epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.268,0.68857,0.70681,0.9965,0.98241,0.98692,0.98857,0.85589,0.51863,0.51776,1.00579,0.000475134,0.000475134,0.000475134
2,396.241,0.63281,0.47987,0.97737,0.76281,0.98202,0.89452,0.72406,0.61638,2.63552,1.12704,0.000950015,0.000950015,0.000950015
3,577.153,0.58425,0.41558,0.95577,0.99286,0.99146,0.99474,0.85079,0.58151,0.36271,1.08403,0.0014191,0.0014191,0.0014191
4,758.174,0.53656,0.3853,0.94104,0.99521,0.98864,0.99481,0.9063,0.43446,0.31023,0.95926,0.00140946,0.00140946,0.00140946
5,942.168,0.50883,0.3514,0.92453,0.99685,0.99661,0.99491,0.91153,0.3963,0.30752,0.96307,0.00139438,0.00139438,0.00139438
6,1122.62,0.47551,0.32434,0.91384,0.99578,0.99454,0.99415,0.93388,0.37193,0.25506,0.94645,0.00137516,0.00137516,0.00137516
7,1301.26,0.44767,0.30014,0.89715,0.99652,0.9978,0.9949,0.94048,0.33429,0.34234,0.93568,0.0013519,0.0013519,0.0013519
8,1479.92,0.44004,0.29632,0.89468,0.99622,0.99707,0.9949,0.94085,0.32527,0.23649,0.92459,0.00132476,0.00132476,0.00132476
9,1659.3,0.40813,0.27999,0.88253,0.99632,0.99853,0.99496,0.94124,0.34023,0.22993,0.93007,0.00129391,0.00129391,0.00129391
10,1841.38,0.39554,0.26792,0.8825,0.99623,0.99695,0.99472,0.9532,0.30876,0.22561,0.92021,0.00125952,0.00125952,0.00125952
11,2023.77,0.38558,0.26345,0.8723,0.99812,0.99615,0.99482,0.95116,0.29313,0.20672,0.91503,0.00122182,0.00122182,0.00122182
12,2206.73,0.36521,0.25123,0.86527,0.99244,1,0.99489,0.9542,0.28822,0.20315,0.91253,0.00118104,0.00118104,0.00118104
