epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,2390.83,0.35394,0.24287,0.86338,0.99531,0.99838,0.99473,0.95381,0.30432,0.20377,0.9136,0.00113742,0.00113742,0.00113742
14,2573.1,0.34457,0.23425,0.85249,0.99957,0.99908,0.995,0.96579,0.25458,0.17913,0.89971,0.00109124,0.00109124,0.00109124
15,2754.6,0.32873,0.22568,0.84952,0.99723,0.9978,0.9949,0.96214,0.2543,0.18137,0.89871,0.00104278,0.00104278,0.00104278
16,2939.01,0.33218,0.22417,0.85294,0.99791,1,0.99499,0.96694,0.2491,0.16345,0.89871,0.000992338,0.000992338,0.000992338
17,3126.67,0.31268,0.21261,0.84578,0.99945,1,0.995,0.96615,0.23417,0.17113,0.89094,0.00094023,0.00094023,0.00094023
18,3310.13,0.31141,0.21134,0.84346,0.99572,0.99858,0.99495,0.96977,0.25763,0.17703,0.89844,0.000886774,0.000886774,0.000886774
19,3494.78,0.29675,0.20631,0.83629,0.99958,0.9978,0.995,0.96961,0.22588,0.1575,0.88576,0.0008323,0.0008323,0.0008323
20,3678.35,0.29381,0.202,0.83768,0.99817,0.99927,0.99499,0.96958,0.23688,0.16103,0.88751,0.000777143,0.000777143,0.000777143
21,3862.4,0.28125,0.19468,0.82991,0.99888,1,0.995,0.97318,0.22749,0.16119,0.88037,0.000721645,0.000721645,0.000721645
22,4047.12,0.28001,0.19325,0.83097,0.99756,1,0.99498,0.97409,0.21692,0.14866,0.88288,0.000666147,0.000666147,0.000666147
23,4232.01,0.26953,0.18606,0.82719,0.998,0.99888,0.995,0.97805,0.19883,0.13729,0.8722,0.00061099,0.00061099,0.00061099
24,4417.79,0.25884,0.17799,0.8238,0.9982,0.99946,0.995,0.97807,0.20356,0.13895,0.87246,0.000556516,0.000556516,0.000556516
25,4602.92,0.24549,0.17048,0.81809,0.99879,1,0.99499,0.97925,0.18683,0.1326,0.8704,0.00050306,0.00050306,0.00050306
26,4787.91,0.24075,0.16646,0.82071,0.99806,0.9978,0.995,0.98149,0.17825,0.13144,0.86713,0.000450952,0.000450952,0.000450952
27,4968.55,0.22937,0.16037,0.81623,0.99887,0.99927,0.99499,0.98215,0.17296,0.12083,0.86558,0.000400513,0.000400513,0.000400513
28,5147.52,0.23357,0.15892,0.81661,0.99808,0.99993,0.99499,0.98241,0.17049,0.11945,0.86533,0.000352053,0.000352053,0.000352053
29,5349,0.22474,0.15318,0.80955,0.99827,0.99927,0.99499,0.98358,0.17006,0.11883,0.86547,0.000305872,0.000305872,0.000305872
30,5527.62,0.21057,0.14524,0.80906,0.99816,1,0.995,0.98501,0.16278,0.11091,0.86324,0.000262255,0.000262255,0.000262255
31,5705.93,0.21142,0.14509,0.80875,0.99834,0.99917,0.99499,0.98202,0.15582,0.11145,0.8609,0.000221469,0.000221469,0.000221469
32,5884.2,0.21117,0.14133,0.80939,0.9996,1,0.995,0.98458,0.15094,0.10496,0.86051,0.000183768,0.000183768,0.000183768
33,6062.8,0.19886,0.13599,0.80683,0.99959,1,0.995,0.98513,0.14428,0.10196,0.85939,0.000149383,0.000149383,0.000149383
34,6264.22,0.19413,0.13222,0.80212,0.99962,1,0.995,0.9849,0.14932,0.10373,0.8599,0.000118526,0.000118526,0.000118526
35,6442.8,0.19173,0.1309,0.80822,0.9996,1,0.995,0.98563,0.14378,0.09965,0.85883,9.13871e-05,9.13871e-05,9.13871e-05
36,6656.93,0.17063,0.12226,0.78712,0.99884,0.99999,0.995,0.98488,0.14604,0.0982,0.85977,6.81342e-05,6.81342e-05,6.81342e-05
37,6834.16,0.16644,0.11733,0.79375,0.99882,0.99927,0.995,0.98418,0.14443,0.09512,0.85891,4.89104e-05,4.89104e-05,4.89104e-05
38,7012.35,0.16231,0.11422,0.78651,0.99963,1,0.995,0.98492,0.14086,0.09463,0.85871,3.38343e-05,3.38343e-05,3.38343e-05
39,7189.7,0.15856,0.11117,0.78603,0.99961,1,0.995,0.98525,0.14039,0.0937,0.8587,2.29987e-05,2.29987e-05,2.29987e-05
40,7390.11,0.15915,0.11198,0.78719,0.99965,1,0.995,0.98513,0.13957,0.0915,0.85811,1.64705e-05,1.64705e-05,1.64705e-05
