epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.969,0.68857,0.70681,0.9965,0.98241,0.98692,0.98857,0.85589,0.51863,0.51776,1.00579,0.000475134,0.000475134,0.000475134
2,424.66,0.63671,0.47176,0.9766,0.89562,0.97516,0.99044,0.84413,0.61218,0.95705,1.07745,0.000945668,0.000945668,0.000945668
3,738.017,0.58152,0.40802,0.95652,0.99263,0.99121,0.99384,0.89636,0.43854,0.38726,0.97914,0.00139321,0.00139321,0.00139321
4,1186.48,0.54441,0.38558,0.9409,0.99786,0.99451,0.99452,0.91351,0.3966,0.28946,0.96253,0.0013519,0.0013519,0.0013519
5,1423.4,0.496,0.34429,0.9192,0.99428,0.99666,0.99489,0.93104,0.37068,0.26839,0.94545,0.00129391,0.00129391,0.00129391
6,1612.02,0.46055,0.31493,0.90826,0.99728,0.99449,0.99484,0.9388,0.33659,0.24218,0.93059,0.00122182,0.00122182,0.00122182
7,1793.59,0.42074,0.2878,0.8864,0.99665,0.99964,0.99499,0.94704,0.31783,0.23384,0.92692,0.00113742,0.00113742,0.00113742
8,1986.71,0.41022,0.2785,0.88202,0.99499,0.99767,0.99493,0.94181,0.31973,0.22947,0.91853,0.00104278,0.00104278,0.00104278
9,2173.33,0.38462,0.25798,0.87073,0.9975,0.9992,0.99497,0.95962,0.26605,0.20321,0.90126,0.00094023,0.00094023,0.00094023
10,2358.47,0.35813,0.24147,0.86513,0.99701,0.99914,0.99479,0.95803,0.29325,0.2069,0.91039,0.0008323,0.0008323,0.0008323
11,2580.36,0.34301,0.24393,0.8528,0.99736,0.99927,0.99494,0.95504,0.28112,0.19461,0.91284,0.000721645,0.000721645,0.000721645
12,2762.37,0.32226,0.22806,0.84259,0.99888,0.99762,0.99494,0.95692,0.26096,0.19103,0.89824,0.00061099,0.00061099,0.00061099
13,2944.83,0.29742,0.20978,0.83054,0.99877,1,0.99498,0.96723,0.22876,0.16781,0.89039,0.00050306,0.00050306,0.00050306
14,3127.96,0.27795,0.19475,0.82752,0.99944,1,0.995,0.96563,0.237,0.1681,0.88499,0.000400513,0.000400513,0.000400513
15,3311.06,0.25329,0.18072,0.81823,0.99802,0.99927,0.99498,0.97075,0.21406,0.14656,0.87956,0.000305872,0.000305872,0.000305872
16,3500.72,0.23526,0.16943,0.80937,0.99792,1,0.995,0.97796,0.19375,0.14537,0.87315,0.000221469,0.000221469,0.000221469
17,3686.38,0.22155,0.15952,0.80542,0.99834,1,0.995,0.97988,0.17897,0.13319,0.86885,0.000149383,0.000149383,0.000149383
18,3897.88,0.21066,0.15096,0.79827,0.99864,1,0.995,0.97925,0.17069,0.12654,0.86863,9.13871e-05,9.13871e-05,9.13871e-05
19,4082.98,0.19463,0.1413,0.79882,0.99891,1,0.995,0.98168,0.15768,0.11492,0.86573,4.89104e-05,4.89104e-05,4.89104e-05
20,4268.55,0.19164,0.13846,0.79495,0.99882,1,0.995,0.98287,0.15605,0.11293,0.86483,2.29987e-05,2.29987e-05,2.29987e-05
